section,german,english
25. Money & banking,Steuer,tax
25. Money & banking,Gehalt,salary
25. Money & banking,Portemonnaie,wallet
26. Shopping & services,Geschäft,shop / store
26. Shopping & services,Kundenservice,customer service
26. Shopping & services,Reklamation,complaint (product)
26. Shopping & services,Umtausch,exchange
26. Shopping & services,Rückgabe,return (product)
26. Shopping & services,Garantie,warranty
26. Shopping & services,Größe,size
26. Shopping & services,Farbe,color
26. Shopping & services,Anprobe,fitting / try-on
26. Shopping & services,Ankleidekabine,fitting room
26. Shopping & services,Schlange anstehen,to stand in line
26. Shopping & services,beraten,to advise
26. Shopping & services,empfehlen,to recommend
26. Shopping & services,bestellen,to order
26. Shopping & services,liefern,to deliver
26. Shopping & services,Lieferung,delivery
26. Shopping & services,online bestellen,to order online
26. Shopping & services,Markt,market
26. Shopping & services,Supermarkt,supermarket
26. Shopping & services,Bäckerei,bakery
26. Shopping & services,Metzgerei,butcher shop
26. Shopping & services,Apotheke,pharmacy
27. Food & cooking (A2),Zutat,ingredient
27. Food & cooking (A2),Rezept,recipe
27. Food & cooking (A2),kochen,to cook
27. Food & cooking (A2),backen,to bake
27. Food & cooking (A2),braten,to fry / roast
27. Food & cooking (A2),schneiden,to cut
27. Food & cooking (A2),schälen,to peel
27. Food & cooking (A2),mischen,to mix
27. Food & cooking (A2),schmecken,to taste
27. Food & cooking (A2),würzen,to season
27. Food & cooking (A2),süß,sweet
27. Food & cooking (A2),salzig,salty
27. Food & cooking (A2),sauer,sour
27. Food & cooking (A2),scharf,spicy / hot
27. Food & cooking (A2),frisch,fresh
27. Food & cooking (A2),gefroren,frozen
27. Food & cooking (A2),Bio,bio / organic
27. Food & cooking (A2),vegetarisch,vegetarian
27. Food & cooking (A2),vegan,vegan
27. Food & cooking (A2),Allergie,allergy
27. Food & cooking (A2),Nahrung,food / nourishment
27. Food & cooking (A2),Mahlzeit,meal
27. Food & cooking (A2),Frühstück,breakfast
27. Food & cooking (A2),Mittagessen,lunch
27. Food & cooking (A2),Abendessen,dinner
27. Food & cooking (A2),Snack,snack
27. Food & cooking (A2),Vorspeise,appetizer / starter
27. Food & cooking (A2),Hauptgericht,main course
27. Food & cooking (A2),Nachtisch,dessert
27. Food & cooking (A2),Getränk,drink / beverage
27. Food & cooking (A2),Speisekarte,menu
27. Food & cooking (A2),bestellen,to order (food)
27. Food & cooking (A2),Reservierung,reservation (restaurant)
27. Food & cooking (A2),Trinkgeld,tip (gratuity)
27. Food & cooking (A2),Nudeln,pasta / noodles
27. Food & cooking (A2),Reis,rice
27. Food & cooking (A2),Kartoffeln,potatoes
27. Food & cooking (A2),Salat,salad
27. Food & cooking (A2),Suppe,soup
27. Food & cooking (A2),Soße,sauce / gravy
27. Food & cooking (A2),Käse,cheese
27. Food & cooking (A2),Joghurt,yogurt
27. Food & cooking (A2),Butter,butter
27. Food & cooking (A2),Öl,oil
27. Food & cooking (A2),Essig,vinegar
27. Food & cooking (A2),Gewürz,spice
27. Food & cooking (A2),Zucker,sugar
27. Food & cooking (A2),Mehl,flour
28. Clothes & appearance,Kleidung,clothing
28. Clothes & appearance,Outfit,outfit
28. Clothes & appearance,Mode,fashion
28. Clothes & appearance,Stil,style
28. Clothes & appearance,Größe,size
28. Clothes & appearance,eng,tight
28. Clothes & appearance,weit,loose / wide
28. Clothes & appearance,passen,to fit / suit
28. Clothes & appearance,anziehen,to put on
28. Clothes & appearance,ausziehen,to take off
28. Clothes & appearance,tragen,to wear / carry
28. Clothes & appearance,Waschhinweis,care label
28. Clothes & appearance,bügeln,to iron
28. Clothes & appearance,Waschmaschine,washing machine
28. Clothes & appearance,Anzug,suit
28. Clothes & appearance,Krawatte,necktie
28. Clothes & appearance,Bluse,blouse
28. Clothes & appearance,Rock,skirt
28. Clothes & appearance,Shorts,shorts
28. Clothes & appearance,Turnschuhe,sneakers
28. Clothes & appearance,Stiefel,boots
28. Clothes & appearance,Sandalen,sandals
28. Clothes & appearance,Mütze,cap / hat
28. Clothes & appearance,Schal,scarf
28. Clothes & appearance,Handschuhe,gloves
28. Clothes & appearance,Sonnenbrille,sunglasses
28. Clothes & appearance,Schmuck,jewelry
28. Clothes & appearance,Frisur,hairstyle
28. Clothes & appearance,Make-up,make-up
29. Environment & nature,Umwelt,environment
29. Environment & nature,Natur,nature
29. Environment & nature,Klima,climate
29. Environment & nature,Klimawandel,climate change
29. Environment & nature,Verschmutzung,pollution
29. Environment & nature,Recycling,recycling
29. Environment & nature,Energie,energy
29. Environment & nature,Strom,electricity
29. Environment & nature,Solar,solar
29. Environment & nature,Windkraft,wind power
29. Environment & nature,Wald,forest
29. Environment & nature,Baum,tree
29. Environment & nature,Fluss,river
29. Environment & nature,See,lake
29. Environment & nature,Meer,sea / ocean
29. Environment & nature,Insel,island
29. Environment & nature,Berg,mountain
29. Environment & nature,Tal,valley
29. Environment & nature,Landschaft,landscape
29. Environment & nature,Tier,animal
29. Environment & nature,Vogel,bird
29. Environment & nature,Insekt,insect
29. Environment & nature,Pflanze,plant
29. Environment & nature,Blume,flower
29. Environment & nature,Naturschutz,nature conservation
29. Environment & nature,Mülltonne,garbage bin
29. Environment & nature,sauber halten,to keep clean
30. Weather & seasons,Wetter,weather
30. Weather & seasons,Wetterbericht,weather forecast
30. Weather & seasons,Temperatur,temperature
30. Weather & seasons,Grad,degree (temperature)
30. Weather & seasons,sonnig,sunny
30. Weather & seasons,bewölkt,cloudy
30. Weather & seasons,regnerisch,rainy
30. Weather & seasons,windig,windy
30. Weather & seasons,schneien,to snow
30. Weather & seasons,regnen,to rain
30. Weather & seasons,Donner,thunder
30. Weather & seasons,Blitz,lightning
30. Weather & seasons,Gewitter,thunderstorm
30. Weather & seasons,Nebel,fog
30. Weather & seasons,Frost,frost
30. Weather & seasons,Hitze,heat
30. Weather & seasons,Kälte,cold
30. Weather & seasons,Frühling,spring
30. Weather & seasons,Sommer,summer
30. Weather & seasons,Herbst,autumn / fall
30. Weather & seasons,Winter,winter
31. Culture & entertainment,Kultur,culture
31. Culture & entertainment,Konzert,concert
31. Culture & entertainment,Theater,theater
31. Culture & entertainment,Museum,museum
31. Culture & entertainment,Ausstellung,exhibition
31. Culture & entertainment,Festival,festival
31. Culture & entertainment,Veranstaltung,event
31. Culture & entertainment,Einladung,invitation
31. Culture & entertainment,Ticket,ticket
31. Culture & entertainment,Eintritt,admission / entry
31. Culture & entertainment,Künstler,artist (male)
31. Culture & entertainment,Künstlerin,artist (female)
31. Culture & entertainment,Musik,music
31. Culture & entertainment,Lied,song
31. Culture & entertainment,Band,band
31. Culture & entertainment,Tanz,dance
31. Culture & entertainment,tanzen,to dance
31. Culture & entertainment,singen,to sing
31. Culture & entertainment,malen,to paint
31. Culture & entertainment,zeichnen,to draw
31. Culture & entertainment,Fotografie,photography
31. Culture & entertainment,Kino,cinema
31. Culture & entertainment,Buch,book
31. Culture & entertainment,Roman,novel
31. Culture & entertainment,Gedicht,poem
31. Culture & entertainment,Autor,author (male)
31. Culture & entertainment,Autorin,author (female)
32. Sports & leisure,Sport,sport
32. Sports & leisure,Training,training
32. Sports & leisure,Mannschaft,team
32. Sports & leisure,Spieler,player (male)
32. Sports & leisure,Spielerin,player (female)
32. Sports & leisure,Trainer,coach (male)
32. Sports & leisure,Trainerin,coach (female)
32. Sports & leisure,Wettkampf,competition
32. Sports & leisure,Sieg,victory / win
32. Sports & leisure,Niederlage,defeat
32. Sports & leisure,Unentschieden,draw / tie
32. Sports & leisure,Fußball,soccer / football
32. Sports & leisure,Basketball,basketball
32. Sports & leisure,Volleyball,volleyball
32. Sports & leisure,Tennis,tennis
32. Sports & leisure,Schwimmen,swimming
32. Sports & leisure,Joggen,jogging
32. Sports & leisure,Wandern,hiking
32. Sports & leisure,Radfahren,cycling
32. Sports & leisure,Skifahren,skiing
32. Sports & leisure,Fitnessstudio,gym
32. Sports & leisure,Hobby,hobby
32. Sports & leisure,Freizeit,leisure time
32. Sports & leisure,Spiel,game
32. Sports & leisure,Spielplatz,playground
33. Celebrations & traditions,Feiertag,public holiday
33. Celebrations & traditions,Weihnachten,Christmas
33. Celebrations & traditions,Ostern,Easter
33. Celebrations & traditions,Silvester,New Year's Eve
33. Celebrations & traditions,Geburtstag,birthday
33. Celebrations & traditions,Hochzeit,wedding
33. Celebrations & traditions,Party,party
33. Celebrations & traditions,Feier,celebration
33. Celebrations & traditions,Geschenk,gift / present
33. Celebrations & traditions,Gratulation,congratulation
33. Celebrations & traditions,Glückwunsch,congratulations
33. Celebrations & traditions,Tradition,tradition
33. Celebrations & traditions,Brauch,custom / tradition
33. Celebrations & traditions,feiern,to celebrate
33. Celebrations & traditions,gratulieren,to congratulate
33. Celebrations & traditions,einladen,to invite
33. Celebrations & traditions,schenken,to give (as gift)
33. Celebrations & traditions,anstoßen,to toast
33. Celebrations & traditions,Prost,cheers
34. Social life & relationships,Freundschaft,friendship
34. Social life & relationships,Beziehung,relationship
34. Social life & relationships,Partner,partner (male)
34. Social life & relationships,Partnerin,partner (female)
34. Social life & relationships,Verabredung,date / appointment
34. Social life & relationships,Treffen,meeting / get-together
34. Social life & relationships,Besuch,visit
34. Social life & relationships,besuchen,to visit
34. Social life & relationships,einladen,to invite
34. Social life & relationships,empfangen,to receive / host
34. Social life & relationships,kennenlernen,to get to know
34. Social life & relationships,sich verstehen,to get along
34. Social life & relationships,streiten,to argue
34. Social life & relationships,sich versöhnen,to reconcile
34. Social life & relationships,Heirat,marriage
34. Social life & relationships,heiraten,to marry
34. Social life & relationships,scheiden,to divorce
34. Social life & relationships,Kind,child
34. Social life & relationships,Großeltern,grandparents
34. Social life & relationships,Nachbarschaft,neighborhood
34. Social life & relationships,Gemeinschaft,community
35. Emergencies & safety,Notfall,emergency
35. Emergencies & safety,Feuer,fire
35. Emergencies & safety,Brand,fire (blaze)
35. Emergencies & safety,Rauch,smoke
35. Emergencies & safety,Alarm,alarm
35. Emergencies & safety,Feuerwehr,fire department
35. Emergencies & safety,Polizei,police
35. Emergencies & safety,Polizeiwache,police station
35. Emergencies & safety,Unfall,accident
35. Emergencies & safety,Verletzte,injured person
35. Emergencies & safety,Erste Hilfe,first aid
35. Emergencies & safety,Notruf,emergency call
35. Emergencies & safety,Rettungsdienst,emergency services
35. Emergencies & safety,Krankenwagen,ambulance
35. Emergencies & safety,Diebstahl,theft
35. Emergencies & safety,Einbruch,burglary
35. Emergencies & safety,anzeigen,to report (to police)
35. Emergencies & safety,vorsichtig,careful
35. Emergencies & safety,gefährlich,dangerous
35. Emergencies & safety,sicher,safe / secure
36. Useful A2 adjectives,wichtig,important
36. Useful A2 adjectives,notwendig,necessary
36. Useful A2 adjectives,möglich,possible
36. Useful A2 adjectives,unmöglich,impossible
36. Useful A2 adjectives,einfach,easy / simple
36. Useful A2 adjectives,schwierig,difficult
36. Useful A2 adjectives,richtig,correct
36. Useful A2 adjectives,falsch,wrong / false
36. Useful A2 adjectives,ähnlich,similar
36. Useful A2 adjectives,verschieden,different / various
36. Useful A2 adjectives,besonders,especially / special
36. Useful A2 adjectives,normal,normal
36. Useful A2 adjectives,typisch,typical
36. Useful A2 adjectives,allgemein,general
36. Useful A2 adjectives,international,international
36. Useful A2 adjectives,lokal,local
36. Useful A2 adjectives,modern,modern
36. Useful A2 adjectives,traditionell,traditional
36. Useful A2 adjectives,praktisch,practical
36. Useful A2 adjectives,bequem,comfortable
36. Useful A2 adjectives,unbequem,uncomfortable
36. Useful A2 adjectives,aktuell,current
36. Useful A2 adjectives,früher,earlier / in the past
36. Useful A2 adjectives,später,later
36. Useful A2 adjectives,plötzlich,suddenly
36. Useful A2 adjectives,langsam,slow
36. Useful A2 adjectives,schnell,fast
36. Useful A2 adjectives,laut,loud
36. Useful A2 adjectives,leise,quiet
36. Useful A2 adjectives,hell,bright
36. Useful A2 adjectives,dunkel,dark
36. Useful A2 adjectives,voll,full
36. Useful A2 adjectives,leer,empty
36. Useful A2 adjectives,kaputt,broken
36. Useful A2 adjectives,neu,new
36. Useful A2 adjectives,alt,old
37. Useful A2 adverbs,leider,unfortunately
37. Useful A2 adverbs,glücklicherweise,fortunately
37. Useful A2 adverbs,vielleicht,perhaps
37. Useful A2 adverbs,wahrscheinlich,probably
37. Useful A2 adverbs,bestimmt,certainly / definitely
37. Useful A2 adverbs,genau,exactly
37. Useful A2 adverbs,fast,almost
37. Useful A2 adverbs,kaum,hardly / barely
37. Useful A2 adverbs,überall,everywhere
37. Useful A2 adverbs,nirgendwo,nowhere
37. Useful A2 adverbs,irgendwo,somewhere
37. Useful A2 adverbs,irgendwann,sometime
37. Useful A2 adverbs,manchmal,sometimes
37. Useful A2 adverbs,oft,often
37. Useful A2 adverbs,selten,rarely
37. Useful A2 adverbs,immer,always
37. Useful A2 adverbs,nie,never
37. Useful A2 adverbs,plötzlich,suddenly
37. Useful A2 adverbs,deshalb,therefore
37. Useful A2 adverbs,trotzdem,nevertheless
37. Useful A2 adverbs,außerdem,besides / moreover
37. Useful A2 adverbs,zuerst,first
37. Useful A2 adverbs,dann,then
37. Useful A2 adverbs,schließlich,finally
37. Useful A2 adverbs,gleichzeitig,at the same time
37. Useful A2 adverbs,regelmäßig,regularly
37. Useful A2 adverbs,sofort,immediately
38. Useful A2 verbs,werden,to become
38. Useful A2 verbs,bleiben,to stay / remain
38. Useful A2 verbs,brauchen,to need
38. Useful A2 verbs,bekommen,to receive / get
38. Useful A2 verbs,kosten,to cost
38. Useful A2 verbs,passieren,to happen
38. Useful A2 verbs,bedeuten,to mean
38. Useful A2 verbs,erklären,to explain
38. Useful A2 verbs,vergessen,to forget
38. Useful A2 verbs,verlieren,to lose
38. Useful A2 verbs,gewinnen,to win
38. Useful A2 verbs,einkaufen,to shop
38. Useful A2 verbs,verkaufen,to sell
38. Useful A2 verbs,leihen,to lend / borrow
38. Useful A2 verbs,schicken,to send
38. Useful A2 verbs,empfangen,to receive
38. Useful A2 verbs,verbieten,to forbid
38. Useful A2 verbs,erlauben,to allow
38. Useful A2 verbs,empfehlen,to recommend
38. Useful A2 verbs,entscheiden,to decide
38. Useful A2 verbs,planen,to plan
38. Useful A2 verbs,vorbereiten,to prepare
38. Useful A2 verbs,organisieren,to organize
38. Useful A2 verbs,ändern,to change
38. Useful A2 verbs,verbessern,to improve
38. Useful A2 verbs,versuchen,to try / attempt
38. Useful A2 verbs,schaffen,to manage / create
38. Useful A2 verbs,klappen,to work out / succeed
38. Useful A2 verbs,misslingen,to fail
38. Useful A2 verbs,funktionieren,to function / work
38. Useful A2 verbs,reparieren,to repair
38. Useful A2 verbs,bauen,to build
38. Useful A2 verbs,zerstören,to destroy
38. Useful A2 verbs,öffnen,to open
38. Useful A2 verbs,schließen,to close
38. Useful A2 verbs,beginnen,to begin
38. Useful A2 verbs,beenden,to end
38. Useful A2 verbs,fortsetzen,to continue
38. Useful A2 verbs,aufhören,to stop
38. Useful A2 verbs,warten,to wait
38. Useful A2 verbs,erwarten,to expect
38. Useful A2 verbs,hoffen,to hope
38. Useful A2 verbs,fürchten,to fear
38. Useful A2 verbs,lieben,to love
38. Useful A2 verbs,mögen,to like
38. Useful A2 verbs,hassen,to hate
38. Useful A2 verbs,vermissen,to miss (someone)
38. Useful A2 verbs,feiern,to celebrate
38. Useful A2 verbs,reisen,to travel
38. Useful A2 verbs,fliegen,to fly
38. Useful A2 verbs,packen,to pack
38. Useful A2 verbs,unterschreiben,to sign
38. Useful A2 verbs,ausfüllen,to fill out (a form)
38. Useful A2 verbs,mitbringen,to bring along
38. Useful A2 verbs,mitnehmen,to take along
38. Useful A2 verbs,zurückkehren,to return
39. Abstract nouns & concepts,Problem,problem
39. Abstract nouns & concepts,Lösung,solution
39. Abstract nouns & concepts,Frage,question
39. Abstract nouns & concepts,Antwort,answer
39. Abstract nouns & concepts,Information,information
39. Abstract nouns & concepts,Regel,rule
39. Abstract nouns & concepts,Gesetz,law
39. Abstract nouns & concepts,Recht,right / law
39. Abstract nouns & concepts,Pflicht,duty / obligation
39. Abstract nouns & concepts,Chance,opportunity / chance
39. Abstract nouns & concepts,Risiko,risk
39. Abstract nouns & concepts,Erfolg,success
39. Abstract nouns & concepts,Misserfolg,failure
39. Abstract nouns & concepts,Grund,reason
39. Abstract nouns & concepts,Ursache,cause
39. Abstract nouns & concepts,Folge,consequence
39. Abstract nouns & concepts,Ziel,goal / aim
39. Abstract nouns & concepts,Plan,plan
39. Abstract nouns & concepts,Idee,idea
39. Abstract nouns & concepts,Beispiel,example
39. Abstract nouns & concepts,Unterschied,difference
39. Abstract nouns & concepts,Gemeinsamkeit,similarity / common ground
39. Abstract nouns & concepts,Entwicklung,development
39. Abstract nouns & concepts,Veränderung,change
39. Abstract nouns & concepts,Fortschritt,progress
39. Abstract nouns & concepts,Tradition,tradition
39. Abstract nouns & concepts,Kultur,culture
